Date,Model,min,max,std
20230405,HMS-EB,1.6540031,1.9306335,0.0926607
20230405,HMS-TI,1.916506,2.557217,0.20617725
20230405,iSnobal,0.99727666,3.8668108,0.60535777
20230405,LiDAR-2000,2.1144457,3.0534437,0.34801897
20230405,LiDAR,1.2132806,4.221282,0.54479855
20230405,SnowModel,1.1721512,3.9148448,0.5920361
20240315,HMS-EB,1.2752554,1.466034,0.06380038
20240315,HMS-TI,1.4562509,1.9186224,0.14936431
20240315,iSnobal,0.41920874,2.5167353,0.42464167
20240315,LiDAR-2000,1.3100656,2.0782058,0.2911476
20240315,LiDAR,0.6047789,3.051913,0.45095447
20240315,SnowModel,0.71036035,2.7643032,0.41961297
20240418,HMS-EB,1.0742991,1.3441104,0.08775863
20240418,HMS-TI,0.7961446,1.4019297,0.2026927
20240418,iSnobal,0.0,2.1911356,0.62227046
20240418,LiDAR-2000,0.66446155,1.6302187,0.34814444
20240418,LiDAR,0.056386303,2.6110148,0.57828903
20240418,SnowModel,0.107129745,2.2522585,0.4634836
20250404,HMS-EB,1.5922015,1.8267177,0.07754853
20250404,HMS-TI,1.3477044,2.0667834,0.22912294
20250404,iSnobal,0.0,3.1505127,0.7137707
20250404,LiDAR-2000,1.4594003,2.8316123,0.4949956
20250404,LiDAR,0.3289714,3.9639285,0.7322504
20250404,SnowModel,0.66385496,3.4779599,0.634953
20250501,HMS-EB,1.043387,1.4522823,0.13603899
20250501,HMS-TI,0.5139844,1.483261,0.31639832
20250501,iSnobal,0.0,2.7498972,0.7673673
20250501,LiDAR-2000,0.5267232,1.5688082,0.41271168
20250501,LiDAR,0.0,3.0628097,0.7473801
20250501,SnowModel,0.0,2.9439785,0.6865301
